#------- SVETemplate5.h -------
1  32  16x16x16x32x8  10.8324  15.3869  268.086  2144.68  XX1
2  32  16x16x16x32x8  21.5201  15.2842  269.887  2159.1  XX1
3  32  16x16x16x32x8  31.7002  15.0095  274.825  2198.6  XX1
4  32  16x16x16x32x8  41.9134  14.884  277.143  2217.14  XX1
5  32  16x16x16x32x8  51.7681  14.7069  280.481  2243.85  XX1
6  32  16x16x16x32x8  61.6296  14.5903  282.721  2261.77  XX1
7  32  16x16x16x32x8  71.1438  14.4367  285.731  2285.85  XX1
8  32  16x16x16x32x8  79.8413  14.1764  290.977  2327.82  XX1
9  32  16x16x16x32x8  87.7394  13.8478  297.882  2383.06  XX1
10  32  16x16x16x32x8  94.4168  13.4115  307.573  2460.58  XX1
11  32  16x16x16x32x8  99.399  12.8356  321.371  2570.97  XX1
12  32  16x16x16x32x8  101.464  12.0104  343.451  2747.61  XX1

