#------- SVETemplate5.h -------
1  32  16x16x16x32x8  15.2339  21.639  190.628  1525.02  XX1
2  32  16x16x16x32x8  28.8859  20.5155  201.067  1608.54  XX1
3  32  16x16x16x32x8  42.248  20.0038  206.211  1649.69  XX1
4  32  16x16x16x32x8  54.957  19.516  211.365  1690.92  XX1
5  32  16x16x16x32x8  67.1429  19.0747  216.255  1730.04  XX1
6  32  16x16x16x32x8  78.9801  18.6979  220.612  1764.9  XX1
7  32  16x16x16x32x8  89.8236  18.2272  226.31  1810.48  XX1
8  32  16x16x16x32x8  100.029  17.7609  232.252  1858.02  XX1
9  32  16x16x16x32x8  108.22  17.0802  241.508  1932.07  XX1
10  32  16x16x16x32x8  115.068  16.3449  252.372  2018.97  XX1
11  32  16x16x16x32x8  121.257  15.6582  263.441  2107.52  XX1
12  32  16x16x16x32x8  126.906  15.022  274.597  2196.77  XX1
